Date,1st drop,2nd drop
2/3/2018,30,15
2/24/2018,25,9
3/3/2018,30,15
2/5/2018,30,17
3/5/2018,30,12
3/10/2018,40,20
3/24/2018,25,14
3/18/2018,75,25
3/28/2018,35,15
3/30/2018,30,15
3/31/2018,35,20
4/1/2018,42,13
4/2/2018,35,15
4/6/2018,28,20
4/7/2018,25,15
4/8/2018,60,20
4/18/2018,15,20
4/21/2018,41,15
4/22/2018,25,15
4/27/2018,20,15
4/28/2018,30,25
4/30/2018,25,25
5/4/2018,40,20
5/5/2018,35,25
5/16/2018,45,30
5/18/2018,40,15
5/19/2018,51,12
5/25/2018,20,20
5/26/2018,25,20
5/28/2018,70,35
5/30/2018,65,23
6/1/2018,30,27
6/2/2018,35,15
6/8/2018,18,19
6/13/2018,30,25
6/15/2018,15,28
6/16/2018,36,18
6/23/2018,30,30
6/25/2018,19,31
6/29/2018,30,20
6/30/2018,18,18
7/1/2018,30,35
7/8/2018,47,16
7/11/2018,27,18
7/13/2018,30,20
7/21/2018,40,20
7/23/2018,40,27
7/27/2018,25,18
7/28/2018,22,15
8/8/2018,45,25
8/12/2018,45,15
8/11/2018,90,24
8/20/2018,45,26
8/24/2018,65,20
8/25/2018,50,30
9/2/2018,35,28
9/5/2018,60,25
9/9/2018,53,16
9/9/2018,30,15
9/15/2018,36,14
9/17/2018,45,25
9/22/2018,25,15
12/28/2018,25,25
10/3/2018,45,25
10/6/2018,35,10
10/7/2018,45,18
10/13/2018,25,12
10/15/2018,30,3
10/14/2018,30,10
10/19/2018,30,18
10/20/2018,30,15
10/31/2018,20,8
11/2/2018,25,10
11/3/2018,15,13
11/10/2018,25,15
11/12/2018,25,25
11/12/2018,25,15
11/16/2018,10,20
11/28/2018,25,11
12/1/2018,16,11
12/8/2018,25,15
12/10/2018,20,15
12/14/2018,22,8
12/26/2018,11,4
12/29/2018,8,10
1/5/2019,15,10
1/7/2019,26,12
1/11/2019,15,15
1/19/2019,20,15
1/23/2019,25,12
1/25/2019,6,6
1/26/2019,20,5
1/13/2019,45,15
2/2/2019,20,15
2/4/2019,27,17
2/8/2019,27,15
2/20/2019,31,14
2/23/2019,22,13
3/1/2019,25,10
3/2/2019,15,12
3/4/2019,25,12
3/8/2019,20,25
3/20/2019,36,14
3/22/2019,35,15
3/23/2019,25,10
3/30/2019,30,15
4/1/2019,47,14
3/24/2019,60,20
4/17/2019,34,18
4/20/2019,29,19
4/27/2019,25,20
4/29/2019,35,26
5/3/2019,25,15
5/15/2019,38,25
5/17/2019,45,25
5/25/2019,50,20
5/27/2019,50,15
5/31/2019,25,30
6/9/2019,45,25
6/12/2019,35,15
6/15/2019,25,17
6/22/2019,30,20
7/10/2019,42,22
7/14/2019,21,18
6/24/2019,30,15
7/22/2019,58,25
7/26/2019,45,18
8/7/2019,48,32
8/17/2019,30,15
8/17/2019,50,15
8/19/2019,45,20
8/23/2019,40,25
9/4/2019,50,17
9/14/2019,30,15
9/16/2019,35,25
10/2/2019,35,23
10/5/2019,17,15
10/14/2019,25,15
10/30/2019,23,16
11/2/2019,25,10
11/3/2019,30,21